Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By
135322799,request create staff have add staff email information.,staff,,,,feature,1,accepted,"Dec 1, 2016","Dec 4, 2016",,Chenwei Cheow,"As User, I can  add email to to system, so that have any promotion can send direct with email and recover password. ",https://www.pivotaltracker.com/story/show/135322799,Yong Kuan Wah,Chenwei Cheow
135326339,allow user retrieve staff detail,staff,,,,feature,3,accepted,"Dec 1, 2016","Dec 4, 2016",,Chenwei Cheow,"As user, i can retrieve detail of staff, so that can view more detail in every staff",https://www.pivotaltracker.com/story/show/135326339,Chenwei Cheow,
