Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By
135519469,use Staff ID to delete,staff,,,,feature,1,accepted,"Dec 5, 2016","Dec 8, 2016",,Chenwei Cheow,"As a user, i can use Staff ID to delete the staff detail, So that it will not prompt out error message.",https://www.pivotaltracker.com/story/show/135519469,Yong Kuan Wah,
135705205,allow user create a new schedule for the bus,schedule,,,,feature,1,accepted,"Dec 7, 2016","Dec 12, 2016",,Yong Kuan Wah,"as a user, i can create a new schedule for the bus, so i can assign the new schedule to the bus and the bus driver ",https://www.pivotaltracker.com/story/show/135705205,Yong Kuan Wah,
135705409,display the seat of bus in create schedule module,schedule,,,,feature,2,accepted,"Dec 7, 2016","Dec 12, 2016",,Yong Kuan Wah,"as a user, i can see the seat of the bus when i create a new schedule",https://www.pivotaltracker.com/story/show/135705409,Yong Kuan Wah,
135845019,use table to display the schedule detail,schedule,,,,feature,1,accepted,"Dec 9, 2016","Dec 12, 2016",,Wong Tat Minn,"As a customer, i can see the schedule detail on the table, so that i can clearly know any details i want ",https://www.pivotaltracker.com/story/show/135845019,Yong Kuan Wah,Wong Tat Minn
135845167,display the bus no in schedule,schedule,,,,feature,0,accepted,"Dec 9, 2016","Dec 12, 2016",,Yong Kuan Wah,"As a customer, i can view the bus no in the schedule, so that i can know the schedule is for which bus",https://www.pivotaltracker.com/story/show/135845167,Yong Kuan Wah,
